identifiant;circonscription;nom;parti_sigle;parti;semaines_presence;commission_presences;amendements_signes;amendements_adoptes
PA267324;4;jean-jacques gaultier;LR;Les Républicains;28;38;716;31
PA719092;2;frédérique tuffnell;NI;La République en Marche;26;23;1454;135
PA721270;2;stéphane peu;GDR;Parti communiste français;41;48;2747;67
PA720162;7;philippe bolo;MODEM;Mouvement Démocrate;21;28;563;119
PA720178;2;laurent garcia;MODEM;Mouvement Démocrate;12;8;606;120
PA712015;2;julien dive;LR;Les Républicains;31;30;3144;74
PA722320;2;christophe lejeune;LREM;La République en Marche;23;23;407;176
PA721134;1;roland lescure;LREM;La République en Marche;40;76;331;174
PA713448;5;marine brenier;LR;Les Républicains;18;29;1770;30
PA266776;8;frédéric reiss;LR;Les Républicains;29;30;3951;112
PA720900;3;cécile rilhac;LREM;La République en Marche;28;31;783;264
PA720916;5;fiona lazaar;LREM;La République en Marche;29;28;546;213
PA719830;8;nicolas démoulin;LREM;La République en Marche;26;29;320;173
PA608292;2;jeanine dubié;LT;Parti radical de gauche;29;48;2049;68
PA721960;17;danièle obono;LFI;La France Insoumise;41;41;5423;38
PA719578;3;loïc prud'homme;LFI;La France Insoumise;28;21;5433;35
PA720576;3;pascal bois;LREM;La République en Marche;27;23;631;229
PA721836;2;jean-noël barrot;MODEM;Mouvement Démocrate;38;47;641;128
PA719448;4;annie chapelier;AE;La République en Marche;34;38;1348;110
PA719464;10;sébastien nadot;NI;Régions et peuples solidaires;21;28;1157;60
PA609590;1;valérie rabault;SOC;Parti socialiste;42;84;3737;134
PA643089;3;jean-louis thiériot;LR;Les Républicains;26;28;1370;25
PA721600;11;laurianne rossi;LREM;La République en Marche;42;74;1113;286
PA720520;12;anne-laure cattelot;LREM;La République en Marche;25;19;546;233
PA642868;14;paul christophe;AE;Mouvement Démocrate;34;53;1276;89
PA605694;1;olivier falorni;LT;Parti radical de gauche;18;14;1892;55
PA720278;1;matthieu orphelin;NI;Non rattaché;25;39;2092;99
PA721498;3;stanislas guerini;LREM;La République en Marche;23;10;314;165
PA719100;3;jean-philippe ardouin;LREM;La République en Marche;27;27;807;194
PA333421;1;bertrand pancher;LT;Union des démocrates;36;70;2409;80
PA721262;2;guillaume vuilletet;LREM;La République en Marche;34;48;368;213
PA721278;3;patrice anato;LREM;La République en Marche;24;23;494;189
PA266797;1;philippe gosselin;LR;Les Républicains;40;38;2543;56
PA719946;2;guillaume peltier;LR;Les Républicains;11;8;478;12
PA721142;2;paula forteza;NI;La République en Marche;19;21;1287;90
PA718780;6;laurence trastour-isnart;LR;Les Républicains;25;26;3954;94
PA722336;9;vincent thiébaut;LREM;La République en Marche;30;65;824;253
