identifiant;circonscription;nom;parti_sigle;parti;semaines_presence;commission_presences;amendements_signes;amendements_adoptes
PA720054;9;yannick haury;LREM;La République en Marche;20;19;1589;306
PA2155;3;gérard menuel;LR;Les Républicains;19;27;1891;36
PA610667;1;gabriel serville;GDR;Parti communiste français;21;24;2929;77
PA267780;7;agnès firmin le bodo;AE;Mouvement Démocrate;34;65;1478;93
PA508;2;gisèle biémouret;SOC;Parti socialiste;18;8;3726;131
PA722102;2;annie vidal;LREM;La République en Marche;27;44;609;234
PA719718;2;laurence maillart-méhaignerie;LREM;La République en Marche;27;42;425;223
PA720692;20;fabien roussel;GDR;Parti communiste français;34;18;2777;70
PA721844;3;béatrice piron;LREM;La République en Marche;28;35;805;299
PA719330;2;fabien gouttefarde;LREM;La République en Marche;27;62;494;177
PA721718;10;stéphanie do;LREM;La République en Marche;20;14;487;181
PA606171;6;richard ferrand;LREM;La République en Marche;43;60;108;42
PA719218;2;hervé berville;LREM;La République en Marche;32;27;335;168
PA642847;4;thibault bazin;LR;Les Républicains;32;70;5703;134
PA721384;3;pascale fontenel-personne;MODEM;La République en Marche;19;8;904;148
PA718990;2;anne blanc;LREM;La République en Marche;16;16;403;184
PA267318;5;jean-carles grelier;LR;Les Républicains;23;13;1335;35
PA718884;2;valérie bazin-malgras;LR;Les Républicains;30;36;6932;167
PA607193;10;sophie errante;LREM;La République en Marche;21;13;395;207
PA330240;1;éric ciotti;LR;Les Républicains;43;101;968;22
PA720074;2;caroline janvier;LREM;La République en Marche;25;60;631;247
PA330008;1;xavier breton;LR;Les Républicains;35;56;2246;48
PA335612;8;jean-paul lecoq;GDR;Parti communiste français;38;32;2752;67
PA718674;3;olga givernet;LREM;La République en Marche;32;23;321;168
PA346054;3;emmanuel maquet;LR;Les Républicains;24;34;1694;27
PA719710;1;dominique david;LREM;La République en Marche;31;26;408;204
PA722110;3;hubert wulfranc;GDR;Parti communiste français;32;29;2737;67
PA720696;21;béatrice descamps;UDI;Union des démocrates;25;28;1398;61
PA721852;4;marie lebec;LREM;La République en Marche;32;46;346;177
PA721726;4;sereine mauborgne;LREM;La République en Marche;33;45;684;224
PA719350;3;marie tamarelle-verhaeghe;LREM;La République en Marche;26;40;568;223
PA721742;4;isabelle florennes;MODEM;Mouvement Démocrate;40;48;645;130
PA1874;3;marc le fur;LR;Les Républicains;41;68;4246;96
PA607553;5;dominique potier;SOC;Parti socialiste;35;38;3671;126
PA720422;1;adrien quatennens;LFI;La France Insoumise;26;30;5400;35
PA709315;3;arnaud viala;LR;Les Républicains;36;41;4580;103
PA721398;1;typhanie degois;LREM;La République en Marche;19;16;818;212
PA719006;1;fabrice le vigoureux;LREM;La République en Marche;32;26;330;182
PA722090;2;bénédicte pételle;LREM;La République en Marche;29;42;660;253
PA720066;1;stéphanie rist;LREM;La République en Marche;20;9;461;220
PA718894;2;loïc dombreval;LREM;La République en Marche;18;13;647;219
PA267735;3;claude de ganay;LR;Les Républicains;24;27;2856;62
PA1012;2;charles de la verpillière;LR;Les Républicains;28;33;2146;51
PA721046;3;nathalie bassire;LR;Union des démocrates;11;2;1313;29
PA718682;4;stéphane trompille;LREM;La République en Marche;21;23;523;177
PA722228;4;jean-claude leclabart;LREM;La République en Marche;26;43;547;219
PA722118;4;sira sylla;LREM;La République en Marche;19;18;775;194
PA719728;4;gaël le bohec;LREM;La République en Marche;26;37;637;235
PA335999;2;delphine batho;NI;Europe Écologie Les Verts;22;25;506;21
PA998;1;olivier dassault;LR;Les Républicains;12;7;678;13
PA720704;3;laurence vichnievsky;MODEM;Mouvement Démocrate;27;29;625;124
PA721734;5;philippe michel-kleisbauer;MODEM;Mouvement Démocrate;27;39;537;114
PA643127;4;bruno questel;LREM;La République en Marche;33;41;380;204
PA721750;5;céline calvez;LREM;La République en Marche;32;72;545;233
PA719372;1;guillaume kasbarian;LREM;La République en Marche;25;31;548;367
PA721522;10;xavier batut;LREM;La République en Marche;20;18;973;211
PA720414;2;patrice perrot;LREM;La République en Marche;22;25;820;245
PA720430;2;ugo bernalicis;LFI;La France Insoumise;33;57;5427;37
PA266808;2;vincent rolland;LR;Les Républicains;29;28;2430;60
PA1198;2;laurence dumont;SOC;Parti socialiste;23;13;3683;133
PA718902;3;cédric roussel;LREM;La République en Marche;27;24;574;223
PA721054;4;david lorion;LR;Les Républicains;15;11;1434;29
PA605069;3;jean-louis bricout;SOC;Parti socialiste;30;33;3716;131
PA721070;6;nadia ramassamy;LR;Les Républicains;6;4;847;19
PA722126;1;guillaume chiche;NI;La République en Marche;22;16;1468;121
PA722134;3;jean-marie fiévet;LREM;La République en Marche;19;28;547;201
PA719748;3;émilie chalas;LREM;La République en Marche;19;13;378;206
PA608172;2;christine pires beaune;SOC;Parti socialiste;34;46;3801;139
PA336316;2;jean-claude bouchet;LR;Les Républicains;16;18;4161;81
PA1276;4;michel fanget;MODEM;Mouvement Démocrate;26;24;541;112
PA721880;9;marie guévenoux;LREM;La République en Marche;27;39;377;233
PA719364;5;claire o'petit;LREM;La République en Marche;25;8;572;226
PA717151;11;marielle de sarnez;MODEM;Mouvement Démocrate;33;66;535;110
PA606098;2;olivier marleix;LR;Les Républicains;30;25;1129;26
PA721530;1;aude luquet;MODEM;Mouvement Démocrate;27;16;590;113
PA720438;3;christophe di pompeo;LREM;La République en Marche;25;15;336;173
PA721410;3;émilie bonnivard;LR;Les Républicains;29;35;2826;71
PA721426;1;véronique riotton;LREM;La République en Marche;26;37;623;259
PA718910;2;claire pitollat;LREM;La République en Marche;23;13;799;238
PA342935;5;marianne dubois;LR;Les Républicains;24;20;888;16
PA720100;1;aurélien pradié;LR;Les Républicains;32;8;588;16
PA721062;5;jean-hugues ratenon;LFI;La France Insoumise;16;23;5493;41
PA718694;4;marc delatte;LREM;La République en Marche;27;36;413;217
PA722244;3;marie-ange magne;LREM;La République en Marche;26;29;402;206
PA722260;5;cédric villani;NI;La République en Marche;21;27;1023;124
PA719740;2;jean-charles colas-roy;LREM;La République en Marche;24;33;634;233
PA722142;1;françois ruffin;LFI;La France Insoumise;23;20;5489;43
PA719756;5;christine cloarec-le nabour;LREM;La République en Marche;32;50;495;233
PA267306;5;andré chassaigne;GDR;Parti communiste français;42;95;2821;79
PA721888;10;pierre-alain raphan;LREM;La République en Marche;26;28;712;345
PA331567;3;laure de la raudière;AE;Mouvement Démocrate;30;30;897;64
PA721776;1;didier baichère;LREM;La République en Marche;25;26;780;256
PA721674;6;stéphanie atger;LREM;La République en Marche;34;54;618;238
PA720446;4;brigitte liso;LREM;La République en Marche;28;25;397;185
PA267766;18;guy bricout;UDI;Union des démocrates;23;23;1369;42
PA721418;4;patrick mignola;MODEM;Mouvement Démocrate;43;69;546;114
PA719024;4;christophe blanchet;MODEM;La République en Marche;29;34;954;182
PA721434;2;frédérique lardet;LREM;La République en Marche;19;24;595;204
PA2828;6;alain tourret;LREM;La République en Marche;18;17;330;189
PA721194;13;frédérique dumas;LT;Régions et peuples solidaires;29;42;2175;68
PA720092;6;richard ramos;MODEM;Mouvement Démocrate;19;10;613;119
PA720108;2;valérie oppelt;LREM;La République en Marche;22;16;471;207
PA605084;5;jacques krabal;LREM;La République en Marche;23;21;954;280
PA722252;4;marie-pierre rixain;LREM;La République en Marche;16;8;533;242
PA718710;1;pascale boyer;LREM;La République en Marche;27;31;894;243
PA722268;4;martine wonner;LT;La République en Marche;27;27;1888;123
PA342601;3;pascal brindeau;UDI;Union des démocrates;33;30;1390;47
PA721166;5;samantha cazebonne;LREM;La République en Marche;23;14;415;169
PA722150;2;sacha houlié;LREM;La République en Marche;33;43;474;192
PA332228;6;thierry benoit;UDI;Union des démocrates;37;50;1318;44
PA721012;2;manuéla kéclard-mondésir;GDR;Parti communiste français;11;7;2875;74
PA722162;4;nicolas turquois;MODEM;Mouvement Démocrate;27;47;633;135
PA720720;1;josy poueyto;MODEM;Mouvement Démocrate;18;15;580;115
PA721896;1;elsa faucillon;GDR;Parti communiste français;36;33;2749;67
PA1592;3;david habib;SOC;Parti socialiste;41;76;3659;130
PA609332;11;olivier faure;SOC;Parti socialiste;26;10;3674;131
PA331582;4;philippe vigier;MODEM;Union des démocrates;36;56;1564;91
PA332747;1;françois de rugy;LREM;La République en Marche;27;21;407;176
PA721784;6;valérie gomez-bassac;LREM;La République en Marche;26;34;621;322
PA719396;2;jean-charles larsonneur;AE;La République en Marche;20;19;633;75
PA267785;1;guillaume larrivé;LR;Les Républicains;30;52;602;14
PA720454;17;dimitri houbron;AE;La République en Marche;33;41;696;103
PA720468;19;sébastien chenu;NI;Rassemblement national;30;22;329;2
PA719032;5;bertrand bouyx;LREM;La République en Marche;28;33;611;231
PA267527;3;martial saddier;LR;Les Républicains;21;21;1546;30
PA719044;2;nadia essayan;MODEM;Mouvement Démocrate;25;25;578;111
PA942;5;charles de courson;LT;Union des démocrates;39;64;2473;78
PA724827;1;ramlati ali;LREM;La République en Marche;17;23;467;182
PA721202;1;éric coquerel;LFI;La France Insoumise;39;38;5418;35
PA720116;3;anne-france brunet;LREM;La République en Marche;18;17;536;206
PA267901;2;mansour kamardine;LR;Les Républicains;9;3;2974;66
PA267355;5;antoine herth;AE;Mouvement Démocrate;17;21;970;63
PA610775;2;philippe gomès;UDI;Calédonie Ensemble;4;3;1220;48
PA336439;3;jean-michel clément;LT;Parti socialiste;22;18;2031;62
PA722170;1;sophie beaudouin-hubiere;LREM;La République en Marche;28;52;576;205
PA719778;1;françois jolivet;LREM;La République en Marche;38;37;541;209
PA720728;2;jean-paul mattei;MODEM;Mouvement Démocrate;32;65;624;124
PA720738;1;thierry michels;LREM;La République en Marche;29;61;592;220
PA721916;6;natalia pouzyreff;LREM;La République en Marche;28;40;499;200
PA719388;1;annaïg le meur;LREM;La République en Marche;19;28;418;189
PA721792;7;émilie guerel;LREM;La République en Marche;17;25;478;215
PA719404;3;didier le gac;LREM;La République en Marche;24;49;565;197
PA721542;2;marie-christine verdier-jouclas;LREM;La République en Marche;32;34;589;279
PA421348;2;andré villiers;UDI;Union des démocrates;18;11;1068;33
PA267200;5;sébastien huyghe;LR;Les Républicains;29;23;634;12
PA608826;4;virginie duby-muller;LR;Les Républicains;30;45;1981;69
PA719052;3;loïc kervran;LREM;La République en Marche;21;23;356;167
PA721458;6;xavier roseren;LREM;La République en Marche;34;38;476;205
PA721210;7;alexis corbière;LFI;La France Insoumise;35;29;5442;36
PA721932;4;marie-france lorho;NI;Debout la France;26;24;937;7
PA720124;4;aude amadou;LREM;La République en Marche;25;21;354;165
PA721094;1;philippe dunoyer;UDI;Calédonie Ensemble;7;6;1269;54
PA718720;1;jean-paul dufrègne;GDR;Parti communiste français;35;39;2818;74
PA702052;1;maina sage;AE;Tapura Huiraatira;18;23;1101;69
PA718736;3;bénédicte peyrol;LREM;La République en Marche;26;22;399;197
PA722292;1;thomas rudigoz;LREM;La République en Marche;22;16;377;132
PA720870;2;jean françois mbaye;LREM;La République en Marche;33;52;568;205
PA719770;8;florian bachelier;LREM;La République en Marche;35;35;293;165
PA722178;8;jacques maire;LREM;La République en Marche;32;47;406;187
PA1327;2;nicolas forissier;LR;Les Républicains;22;19;1929;43
